# wave        flux         error        rest-wave
# Combined Miri LRS and Nirspec Spectrum of WISEAJ215949.54-480855.2
# Wl (um)     Flx (Jy)     Error (Jy)   Res(lambda/deltalambda)
 4.1161e+00   3.1139e-04   7.0964e-06   2.1349e+02
 4.1257e+00   3.5415e-04   7.2148e-06   2.1452e+02
 4.1353e+00   3.6793e-04   7.4056e-06   2.1555e+02
 4.1449e+00   3.4048e-04   7.1913e-06   2.1657e+02
 4.1545e+00   3.1923e-04   7.2332e-06   2.1760e+02
 4.1640e+00   3.4146e-04   7.3838e-06   2.1863e+02
 4.1735e+00   3.6770e-04   7.3934e-06   2.1966e+02
 4.1830e+00   3.3309e-04   7.2615e-06   2.2068e+02
 4.1925e+00   3.1679e-04   7.4480e-06   2.2171e+02
 4.2019e+00   3.5870e-04   7.7881e-06   2.2274e+02
 4.2114e+00   3.6199e-04   7.9229e-06   2.2376e+02
 4.2208e+00   2.9777e-04   7.5018e-06   2.2479e+02
 4.2301e+00   2.7991e-04   7.2098e-06   2.2582e+02
 4.2395e+00   3.0307e-04   7.3471e-06   2.2685e+02
 4.2488e+00   3.1745e-04   7.5276e-06   2.2788e+02
 4.2581e+00   3.1451e-04   7.5023e-06   2.2891e+02
 4.2674e+00   3.0001e-04   7.5660e-06   2.2994e+02
 4.2767e+00   3.0760e-04   7.6211e-06   2.3097e+02
 4.2859e+00   3.2814e-04   7.7701e-06   2.3199e+02
 4.2952e+00   3.0813e-04   7.7306e-06   2.3303e+02
 4.3044e+00   2.7769e-04   7.5070e-06   2.3406e+02
 4.3136e+00   2.9775e-04   7.5921e-06   2.3510e+02
 4.3227e+00   3.5322e-04   8.0642e-06   2.3613e+02
 4.3319e+00   3.3416e-04   8.0005e-06   2.3715e+02
 4.3410e+00   2.8984e-04   7.8803e-06   2.3818e+02
 4.3501e+00   2.8803e-04   7.6849e-06   2.3922e+02
 4.3592e+00   3.2118e-04   8.0725e-06   2.4026e+02
 4.3682e+00   3.2825e-04   8.0820e-06   2.4129e+02
 4.3773e+00   3.4268e-04   7.9565e-06   2.4232e+02
 4.3863e+00   2.9664e-04   8.1858e-06   2.4335e+02
 4.3953e+00   2.7744e-04   8.2093e-06   2.4438e+02
 4.4043e+00   3.4760e-04   8.2917e-06   2.4542e+02
 4.4132e+00   3.8977e-04   8.7079e-06   2.4646e+02
 4.4222e+00   3.1490e-04   8.3082e-06   2.4749e+02
 4.4311e+00   2.4913e-04   8.1577e-06   2.4852e+02
 4.4400e+00   2.5687e-04   8.1519e-06   2.4956e+02
 4.4489e+00   2.9465e-04   8.2742e-06   2.5060e+02
 4.4578e+00   3.0176e-04   8.2922e-06   2.5163e+02
 4.4666e+00   2.6642e-04   8.2575e-06   2.5266e+02
 4.4754e+00   2.4857e-04   8.3186e-06   2.5370e+02
 4.4843e+00   2.6228e-04   8.7437e-06   2.5474e+02
 4.4930e+00   2.7438e-04   8.4487e-06   2.5578e+02
 4.5018e+00   2.5676e-04   8.2845e-06   2.5681e+02
