# wave         flux         error        rest_wave
# Combined Miri LRS and Nirspec Spectrum of WISEJ150115.92-400418.4
# Wl (um)     Flx (Jy)     Error (Jy)   Res(lambda/deltalambda)
 6.1250e+00   2.4312e-04   1.3171e-06   6.9994e+01
 6.1729e+00   2.6004e-04   1.3529e-06   7.0911e+01
 6.2201e+00   2.8002e-04   1.3711e-06   7.1816e+01
 6.2668e+00   2.9706e-04   1.4299e-06   7.2710e+01
 6.3129e+00   2.7605e-04   1.3928e-06   7.3589e+01
 6.3584e+00   2.3509e-04   1.3145e-06   7.4452e+01
 6.4035e+00   1.9425e-04   1.2332e-06   7.5297e+01
 6.4480e+00   1.6570e-04   1.1867e-06   7.6122e+01
 6.4921e+00   1.5563e-04   1.1695e-06   7.6925e+01
 6.5357e+00   1.5716e-04   1.2220e-06   7.7704e+01
 6.5789e+00   1.5504e-04   1.2062e-06   7.8457e+01
 6.6216e+00   1.6485e-04   1.2515e-06   7.9183e+01
 6.6640e+00   1.8229e-04   1.3014e-06   7.9880e+01
 6.7061e+00   1.9583e-04   1.3489e-06   8.0560e+01
 6.7477e+00   1.8948e-04   1.3695e-06   8.1235e+01
 6.7891e+00   1.9352e-04   1.3289e-06   8.1911e+01
 6.8301e+00   1.9493e-04   1.3175e-06   8.2590e+01
 6.8707e+00   2.1225e-04   1.4518e-06   8.3271e+01
 6.9111e+00   2.2311e-04   1.4755e-06   8.3955e+01
 6.9511e+00   2.2019e-04   1.4719e-06   8.4640e+01
 6.9907e+00   2.0838e-04   1.4240e-06   8.5327e+01
 7.0301e+00   1.9603e-04   1.4460e-06   8.6015e+01
